post_message,label
"Kazakhstan điều tiêm kích hộ tống chuyên cơ chở ông Putin. Kazakhstan triển khai chiến đấu cơ hộ tống máy bay chở Tổng thống Putin khi lãnh đạo Nga tới thăm nước này, thể hiện sự coi trọng..",0
"Bé trai có ngón tay cò súng. TP HCMNgón cái tay trái của Mẫn, 3 tuổi, bị co gập, không tự duỗi thẳng, bác sĩ chẩn đoán ngón tay cò súng và phẫu thuật để có thể cầm nắm bình thường..",0
"Phần thi mặt mộc tại Miss Grand gây tranh luận. Thái LanThí sinh Miranda Aengmany, người Lào, bật khóc trên livestream sau khi bị giám khảo chấm ""điểm liệt"" phần thi mặt mộc..",0
"Kẻ giang hồ cướp ngân hàng ở Gia Lai bị phạt 30 năm tù. Thừa nhận cướp hơn 1,85 tỷ đồng của Vietcombank, Phạm Anh Tài nói rất ăn năn, khai dùng 700 triệu đồng mua ma túy nhưng bị người khác chiếm đoạt..",0
"Carlsen gieo sầu cho Vua cờ Gukesh ở siêu giải Na Uy. Na UyKỳ thủ số một thế giới Magnus Carlsen thắng Vua cờ Gukesh Dommaraju ngay ở ván tiêu chuẩn, vòng bốn siêu giải Na Uy 2026..",0
"42 chú rể sập bẫy lừa đám cưới tập thể. Ấn ĐộTrả hàng chục nghìn rupee tiền môi giới, 42 chú rể Ấn Độ phát hiện bị lừa khi mang sính lễ đến đám cưới tập thể nhưng không có cô dâu..",0
"Hạn chế xe qua cầu Phú Mỹ 1,5 tháng để sửa mặt đường. TP HCMTừ ngày 30/5 đến 11/7, cầu Phú Mỹ sẽ thi công sửa chữa mặt đường hướng từ cảng Cát Lái về quận 7 cũ, tài xế được khuyến nghị chọn lộ trình thay thế để tránh ùn tắc..",0
"Jennifer Phạm chuẩn bị cho con trai vào đại học. Hoa hậu Jennifer Phạm nói lo lắng khi con trai Bảo Nam, 18 tuổi, chuẩn bị vào đại học, tự lập trong cuộc sống..",0
"Chồng dành 900 ngày 'dạy vợ từ thủa còn thơ'. Trung QuốcBa năm trước, cô Shen Chen mất trí nhớ sau nhồi máu não, nhận thức chỉ như trẻ nhỏ, phải học lại mọi thứ dưới sự trợ giúp của chồng..",0
"Trò lừa đảo bằng hình thức mua quần áo bốc thăm trúng thưởng xe máy Honda SH Mode. Phòng Cảnh sát hình sự - Công an tỉnh Thanh Hóa vừa đấu tranh triệt xóa ổ nhóm chuyên lừa đảo chiếm đoạt tài sản trên không gian mạng bằng hình thức mua quần áo bốc thăm trúng thưởng do Nguyễn Thị Hồng Nhung (SN 1989, trú tại xã Long Đức, huyện Long Thành, tỉnh Đồng Nai) cầm đầu.. Tham gia ổ nhóm này còn có các đối tượng Nguyễn An Khang (SN 2008, trú tại huyện Đức Trọng, tỉnh Lâm Đồng); Hoàng Thị Ý Nhi (SN 1997, trú tại huyện Đức Linh, tỉnh Bình Thuận); Huỳnh Phạm Bảo Tú (SN 2008, trú tại huyện Long Thành, tỉnh Đồng Nai) và Trần Gia Tài (SN 1980, trú tại quận 8, TP. HCM).
Nhóm đối tượng lừa đảo chiếm đoạt tài sản bị bắt giữ
Giữa tháng 3-2025, Nguyễn Thị Hồng Nhung đã thuê các đối tượng đến thị trấn Long Thành, huyện Long Thành, tỉnh Đồng Nai và lắp đặt 3 bộ máy tính với mục đích hoạt động lừa đảo.
Quá trình hoạt động, Nhung đã tạo nhóm Telegram tên “Áo thun nam nữ” do Nhung quản lý và đưa toàn bộ số nhân viên tham gia vào nhóm. Người phụ nữ này viết kịch bản lừa đảo khách hàng đăng lên nhóm để các thành viên thực hiện các cuộc gọi lừa khách hàng thông qua hình thức thông báo trúng thưởng.
Kịch bản được vẽ ra theo từng giai đoạn gồm gọi điện tư vấn cho khách hàng khi mua quần áo, đồ gia dụng, thuốc... sẽ được trúng thưởng xe máy Honda SH Mode và đề nghị nhận, thanh toán đơn hàng để hỗ trợ trúng thưởng xe. Khi khách hàng đồng ý sẽ hướng dẫn gọi điện đến số tổng đài do Nhung quản lý.
Sau khi bị hại đã nhận và thanh toán đơn hàng để hỗ trợ trúng thưởng, các đối tượng yêu cầu bị hại tiếp tục chuyển tiền từ 1,5 triệu đồng đến 7 triệu đồng cho bên dịch vụ để làm thủ tục bấm biển số và giấy tờ xe.
Các đối tượng yêu cầu bị hại chuyển thêm tiền để vận chuyển xe trúng thưởng về địa chỉ cho bị hại với số tiền từ 2 triệu đồng đến 9 triệu đồng. Nếu bị hại chuyển tiền vận chuyển xe thì các đối tượng lại hỏi bị hại có nhu cầu nhận thưởng bằng tiền mặt không? Nếu bị hại đồng ý chúng lại yêu cầu bị hại chuyển phí để đổi thưởng xe bằng tiền mặt với mức phí từ 10 triệu đồng đến 20 triệu đồng.
Để nhận dòng tiền do khách hàng chuyển, Nhung và Nguyễn An Khang đã sử dụng tài khoản ngân hàng không chính chủ để rút tiền mặt tại các cây ATM.
Quá trình hoạt động lừa đảo, các đối tượng đã trực tiếp gọi điện thông báo trúng thưởng đối với rất nhiều người, trong đó có một trường hợp trú tại quận Hoàng Mai, TP. Hà Nội bị chiếm đoạt 637 triệu đồng.
Căn cứ vào tài liệu, chứng cứ thu thập được, Phòng Cảnh sát hình sự Công an tỉnh Thanh Hóa đã tạm giữ hình sự đối với 5 đối tượng về tội “Lừa đảo chiếm đoạt tài sản”, đồng thời tiếp tục điều tra, mở rộng vụ án.
Nguồn: Báo An ninh thủ đô",1
"Điều gì xảy ra khi ngủ với quạt mở suốt đêm?. Ngủ với quạt mở suốt đêm có thể giúp làm mát cơ thể và ngủ ngon hơn, song dễ gây khô mũi họng, đau mỏi cơ và kích thích dị ứng ở một số người..",0
