post_message,label
"Nhiều cựu lãnh đạo VICEM xin giảm tiền bồi thường trong vụ tháp nghìn tỷ bỏ hoang. Hà NộiSau bản án 3-15 năm tù kèm khoản bồi thường 300 tỷ đồng, 9 cựu lãnh đạo, cán bộ Tổng công ty xi măng Việt Nam (VICEM) hôm nay kháng cáo xin xem xét lại các khoản tiền bồi thường..",0
"'Việt Nam là nền kinh tế số có tốc độ tăng trưởng nhanh nhất khu vực'. Theo Hiệp hội di động toàn cầu GSMA, Việt Nam là quốc gia số hàng đầu tại khu vực, có nhiều chính sách hiệu quả và mức độ tăng trưởng khiến nhiều nước mong muốn..",0
"Cậu bé vừa đạp máy khâu vừa làm bài tập. Trung QuốcĐể ""trị"" tật mất tập trung của con trai, một người mẹ cho bé vừa đạp máy khâu vừa làm bài tập, gây sốt mạng xã hội..",0
"Cứu 9 người trong vụ nổ bình gas cháy tàu trên biển. Tàu chở hàng có 11 thuyền viên hành nghề lặn, trục vớt bị nổ bình gas, gây cháy và chìm trên biển Vĩnh Long, 9 người được cứu, hai người mất tích..",0
"Nhạc sĩ Việt thiệt hại khi vướng 'bẫy' bản quyền. Nguyễn Văn Chung nói một bài hát anh sáng tác từng thu về 1,7 tỷ tiền nhạc chuông, nhạc chờ, nhưng người nhận không phải anh..",0
Doanh nhân Trịnh Văn Quyết chưa trở lại HĐQT FLC. Nhà sáng lập FLC Trịnh Văn Quyết chưa trở lại danh sách bầu HĐQT tập đoàn này tại phiên họp bất thường sáng 27/5..,0
"Người phụ nữ tổn thương hai vòi trứng có con nhờ thụ tinh ống nghiệm. Hà NộiChị Nhung, 33 tuổi, vô sinh do tổn thương hai vòi trứng, được bác sĩ thụ tinh ống nghiệm và can thiệp giữ thai, có con từ phôi cuối cùng..",0
"Phụ nữ thường xuyên nhịn tiểu dễ mắc bệnh gì?. Do tính chất công việc, tôi thường xuyên nhịn đi vệ sinh, gần đây hay tiểu buốt. Tình trạng này kéo dài có dễ mắc các bệnh đường tiết niệu nguy hiểm không? (Khánh Linh, 25 tuổi).",0
"Phá dỡ sân vận động Chi Lăng để đấu giá. Đà NẵngNhà thầu đang khẩn trương tháo dỡ sân vận động Chi Lăng tại trung tâm thành phố nhằm tạo mặt bằng sạch, chuẩn bị cho việc đấu giá thi hành án trở lại..",0
"Bị phạt vì lên mạng công kích người khác. Đồng NaiMâu thuẫn với người thân, người phụ nữ 42 tuổi liên tục đăng bài công kích trên mạng xã hội và bị phạt 7,5 triệu đồng..",0
"Lời giải đề thi môn Toán chuyên vào lớp 10 ở Hưng Yên. Đề thi lớp 10 môn Toán chuyên của trường THPT chuyên Hưng Yên gồm 5 câu, không có bài gắn yếu tố thực tế, thí sinh làm trong 150 phút..",0
"Đề và lời giải môn Toán chuyên thi lớp 10 ở TP Huế. Đề Toán vào lớp 10 chuyên Toán trường THPT chuyên Quốc học Huế có 6 bài, trong đó bài Hình học 3 điểm - nhiều nhất trong đề..",0
"Có được từ chối việc sếp giao sau giờ làm hay không?. Tôi làm việc tại một công ty tư nhân. Theo nội quy công ty, thời gian làm việc kết thúc vào 18h, tuy nhiên sau giờ làm, sếp thường xuyên gọi điện cho tôi để giao việc..",0
"FIFA hứng thêm chỉ trích vì khâu bán vé World Cup 2026. MỹGiới chức bang New York và New Jersey mở cuộc điều tra nhằm vào FIFA, liên quan các cáo buộc thao túng nguồn cung vé và gây hiểu nhầm về vị trí chỗ ngồi tại World Cup 2026..",0
"Cưỡng đoạt tiền của nhiều CSGT, cựu phóng viên lĩnh 15 năm tù. TP HCMÔng Lê Văn Lành bị tuyên 15 năm tù vì cùng con trai và đồng phạm ghi hình CSGT làm nhiệm vụ, tìm sai sót nghiệp vụ để gây áp lực, cưỡng đoạt hơn 1,5 tỷ đồng..",0
"Tổng công ty Truyền tải điện Quốc gia có Quyền Tổng giám đốc mới. Phó tổng giám đốc Hoàng Xuân Khôi được giao nhiệm vụ Quyền Tổng giám đốc Tổng công ty Truyền tải điện Quốc gia, thay ông Trương Hữu Thành..",0
"Giả 'Huấn Hoa Hồng' lừa hơn 8 tỷ đồng, hai anh em lĩnh án gần 20 năm tù. Anh em ruột Nguyễn Quang Linh và Nguyễn Văn Vinh cùng nhóm bạn trong xã lập đường dây lừa đảo vay vốn mạo danh Huấn Hoa Hồng, bị tuyên án 17 và 19 năm tù..",0
Bảo tàng với 2.500 xác động vật trong rừng Cát Tiên. Đồng NaiBảo tàng Thiên nhiên lưu giữ khoảng 2.500 mẫu động vật với nhiều loài đặc hữu quý hiếm hoặc đã tuyệt chủng tại Vườn Quốc gia Cát Tiên..,0
