post_message,label
"ánh sáng cuối đường hầm? vụ án quá nhiều oan sai từ việc tạo hiện trường giả và vân tay giả... việc này đã được ls phong nêu ra từ hơn năm trước cùng rất nhiều bài báo nêu những chứng cứ của vụ án oan sai từ hơn chục năm nay mà toà vẫn tiếp tục làm ngơ, hy vọng hôm nay toà sẽ phải nghe ls phản biện. vụ án này cùng nhiều vụ oan sai khác thể hiện sự thối nát của ngành tư pháp và pháp luật vn. đã 4 kẻ liên quan bị đột tử rồi. hãy nhớ gieo nhân nào gặt quả ấy! luật sư hồng phong đã chính thức tố cáo, yêu cầu điều tra dấu hiệu phạm tội của nguyễn văn nghị. quyết định kháng nghị hủy án, kháng nghị giám đốc thẩm của viện ksnd tối cao với hồ duy hải mới đây, cũng đã ghi nhận phải điều tra nghị: ngoài các dấu vân tay tại hiện trường chưa xác định được thì còn có đối tượng tình nghi là nguyễn văn nghị, nguyễn mi sol không được điều tra làm rõ.",1
"cho e giải thích thắc mắc của a dương lo lắng fb bị cấm tin mừng tin hot! facebook chuẩn bị đặt trụ sở đại diện chính thức tại việt nam ceo facebook việt nam lê diệp kiều trang cho biết, hiện ban giám đốc facebook đang hoàn tất các thủ tục pháp lý để chuẩn bị thành lập văn phòng đại diện tại việt nam. trước đó, tuy facebook có một bộ phận quản lý facebook người việt dành riêng cho thị trường việt nam nhưng lại đóng tại trụ sở ở singapore. thì nay, việc chuyển văn phòng về việt nam sẽ giúp hỗ trợ tốt hơn cho các hoạt động của facebook tại việt nam. đặc biệt là các hoạt động kinh doanh quảng cáo và hỗ trợ doanh nghiệp, start-up việt. cũng theo bà trang, việt nam, với số người sử dụng internet là khoảng 55 triệu người dùng, trong đó có 53 triệu tài khoản facebook được tạo lập tại việt nam. xếp thứ hai đông nam á và đứng thứ 7 toàn thế giới về số người dùng facebook.",1
"chuyên gia, startup chia sẻ kinh nghiệm ổn định đội ngũ, vận hành bộ máy khi gặp gián đoạn do covid-19, trong tọa đàm trực tuyến bài toán nhân sự của startup trên vnexpress. chuỗi tọa đàm trực tuyến e-conference - xoay chuyển nghịch cảnh trên vnexpress là hoạt động đầu tiên trước khi vnexpress khởi động cuộc thi - chương trình bình chọn startup việt 2020 #startup #startupviet",0
muốn biết đánh hay không phải có camera giám sát...,0
"cập nhật tình hình đến 18h chiều 26 --- tổng số người tiếp xúc gần và nhập cảnh từ vùng dịch đang được theo dõi sức khỏe cách ly: 8.333, trong đó: - cách ly tập trung tại bệnh viện: 73 - cách ly tập trung tại cơ sở khác: 7.223 - cách ly tại nhà, nơi lưu trú: 1.037 tổng số ca mắc: - tính từ 6h ngày 164 đến 18h ngày 26: 47 ngày việt nam không có ca lây nhiễm trong cộng đồng. - tính đến 18h ngày 26: việt nam có tổng cộng 188 ca nhiễm nhập cảnh được cách ly ngay. - tính từ 6h đến 18h ngày 26: 0 ca mắc mới. theo báo cáo của tiểu ban điều trị ban chỉ đạo quốc gia phòng, chống dịch covid-19: - 05 bệnh nhân được công bố khỏi bệnh: bn278 tại bệnh viện bệnh nhiệt đới thành phố hồ chí minh 04 bệnh nhân tại bệnh viện bệnh nhiệt đới trung ương, bao gồm: bn294, bn299, bn307, bn311 - số ca âm tính lần 1 với sars-cov-2: 5 ca. - số ca âm tính lần 2 trở lên với sars-cov-2: 5 ca. công tác điều trị cho bn91: nam phi công người anh đã mỉm cười với nhân viên y tế, cử động tay chân tăng. trước đó, ngày 295, nam phi công đã có thể tiếp nhận thìa dinh dưỡng do bác sĩ đút ảnh, ngón tay đã có thể động đậy. bệnh nhân có thể mấp máy môi, nhấp nháy mắt và đã rơi nước mắt trước lời hỏi thăm, động viên của đội ngũ y bác sĩ khi nằm trên giường bệnh. nam phi công tiên lượng còn nặng dù đã giảm được các thông số ecmo do sức cơ toàn thân còn yếu, đặc biệt yếu các cơ hô hấp và nhiễm trùng phổi với chủng vi khuẩn rất khó điều trị. đánh giá sơ bộ về thần kinh cho thấy bệnh nhân tỉnh, có phản xạ ho mạnh hơn và sức cơ tăng: chi trên 35, chi dưới 15, cơ hoành phải hoạt động nhưng còn yếu. bệnh nhân có hội chứng cai thuốc an thần và fentanyl nên hơi bứt rứt và thở nhanh. về phổi, oxy bệnh nhân cải thiện thêm, thông khí phổi vt tăng và ổn định hơn so với các ngày trước, tuy nhiên, vẫn chưa đạt mức có thể cai ecmo do cơ hô hấp còn yếu và còn thở nhanh. để duy trì oxy máu spo2 90-95 và paco2 bình thường, lưu lượng máu ecmo hiện là 3,7 lítphút, đang giảm dần số lít oxy vào máy ecmo còn 1,5 lítphút và nồng độ oxy fio2 vào máy ecmo còn 50. về chức năng thận, bệnh nhân đã ngưng lọc máu từ ngày 275, có cho furosemide để duy trì lượng nước tiểu, chức năng thận đã hồi phục, bun, creatinin máu không tăng 3 ngày nay. tình trạng chướng bụng giảm, có nhu động lại nên bệnh nhân 91 đã bắt đầu uống nước đường chướng bụng có thể do hội chứng cai thuốc an thần và fentanyl hoặc do bactrim liều cao. tính đến nay, bệnh nhân 91 đã trải qua 76 ngày điều trị, trong đó quá trình điều trị tại bệnh viện bệnh nhiệt đới tp hồ chí minh bắt đầu từ ngày 183- 225 tại khoa hồi sức tích cực bệnh viện chợ rẫy từ chiều muộn ngày 225 đến nay",0
"người đứng đầu tổ chức thương mại thế giới wto cho rằng suy thoái kinh tế do đại dịch covid-19 gây ra sẽ nghiêm trọng hơn cuộc suy thoái kinh tế toàn cầu năm 2008. theo reuters, ngày 253, tổng giám đốc tổ chức thương mại thế giới wto roberto azevedo cho biết, các dự báo cho thấy tình trạng suy thoái kinh tế và mất việc làm do đại dịch covid-19 gây ra sẽ nghiêm trọng hơn cuộc suy thoái kinh tế toàn cầu năm 2008. người đứng đầu wto cho rằng đại dịch lần này chắc chắn sẽ tác động rất lớn đến nền kinh tế thế giới. dù chưa có dự báo cụ thể song các nhà kinh tế của wto dự đoán hoạt động thương mại sẽ sụt giảm rất mạnh. tuy nhiên, ông roberto azevedo cho hay các nước có thể thực hiện các biện pháp quan trọng để hạn chế thiệt hại kinh tế ngay lập tức và tạo cơ sở cho sự phục hồi lâu dài, đồng thời hối thúc các nước hợp tác để vượt qua giai đoạn khó khăn này. roberto azevedo đánh giá biện pháp kích thích kinh tế mà chính phủ các nước đưa ra, đồng thời kêu gọi các thành viên wto minh bạch và chia sẻ thông tin. wto đã tạm dừng các cuộc họp tại trụ sở ở geneva thụy sĩ hồi đầu tháng này và hủy cuộc họp hai năm một lần được tổ chức tại kazakhstan vào tháng 6 tới vì lo ngại dịch bệnh covid-19.",0
"danh tính các đối tượng vụ tống tiền kỷ lục ở ubnd thị xã nghi sơn nhé các bác. cứ đồn đại lung tung, chém gió các loại trả lời báo chí, đại tá trần phú hà - giám đốc công an tỉnh thanh hóa xác nhận đã khởi tố, bắt tạm giam 2 phóng viên của tạp chí tài chính doanh nghiệp vì tội cưỡng đoạt tài sản là phạm ân phạm văn ân và doãn tài lê doãn tài. trước đó, công an tỉnh thanh hoá cũng đã bắt 4 đối tượng liên quan vụ tống tiền này, gồm: lê trần tiến đạt sn 1988 lê xuân hoàng sn 1978 lê trần sính sn 1974, ngụ thôn nam đoan vỹ, xã hoằng thịnh, huyện hoằng hoá, tỉnh thanh hoá là anh em họ hàng và nguyễn quốc hưng sn 1979, ngụ phường khương mai, quận thanh xuân, tp hà nội.",0
những hình ảnh về kịch chiến ở biên giới trung quốc - ấn độ vừa được đưa lên mạng hôm nay. chẳng khác nào tình hình biên giới việt nam - trung quốc trước khi xảy ra chiến tranh tháng 21979!,0
"csgt tp hcm truy đuổi, bắt gọn ô tô 4 chỗ chở gần 6.000 gói thuốc lá lậu cùng ma túy như phim ngày 126, đội csgt an sương thuộc phòng cảnh sát giao thông đường bộ, đường sắt công an tp hcm đã bàn giao tài xế danh hoàng 27 tuổi, ngụ tỉnh long an cho công an huyện hóc môn để điều tra theo thẩm quyền. khoảng 7h30 sáng cùng ngày, hoàng lái ô tô 4 chỗ mang bks tỉnh đồng nai lưu thông trên quốc lộ 1 hướng từ ngã tư an sương vòng xoay an lạc. khi đến giao lộ quốc lộ 1 phan văn hớn, huyện hóc môn thì tông vào đuôi 1 ô tô khác đang dừng chờ đèn đỏ. sau khi gây tai nạn, xe này không dừng lại mà quay đầu bỏ chạy nên csgt đang làm nhiệm vụ truy đuổi và chặn được ô tô. kiểm tra trong ô tô, công an phát hiện bên trong chứa gần 6.000 gói thuốc lá lậu, 1 túi nilon nghi là ma túy. đội csgt an sương đã bàn giao tang vật, tài xế cho công an huyện hóc môn điều tra theo thẩm quyền.",0
hiếm ai biết được rằng tỷ phú sòng bạc macau vừa qua đời ở trung quốc sở hữu một công trình đồ sộ và tuyệt mĩ đến vậy. #anquaydi,0
